,pl_name,pl_orbper,pl_rade,pl_ratror,pl_rprs2,pl_ratdor,sy_kmag,pl_Teq,pl_Trock,ed_1.4_Trock,ed_1.4_Teq,delta_Na,efficiency_kmag,noise,ESM,TSM,disc_facility
947,Kepler-1192 b,25.20335612,2.569,0.024791900471316283,0.0006146383289796526,,13.922,674.9,862.5,0.0,0.0,,1.0,521.6267211049354,0.14724318515738946,,Kepler
948,Kepler-1193 b,2.8326569,1.521,0.009616798858009546,9.248282027541371e-05,,12.065,1664.9,2127.6,3.6,0.9,,1.0,221.79912610046014,0.3210789735848331,,Kepler
949,Kepler-1194 b,16.22371541,1.51,0.015047295185955965,0.00022642109241329355,,12.445,,,,,,1.0,264.21643635462914,,,Kepler
950,Kepler-1195 b,8.49640674,2.505,0.029443026392897028,0.0008668918031728309,,13.712,828.9,1059.2,0.4,0.0,,1.0,473.54344650859093,0.43272864835323854,,Kepler
951,Kepler-1196 b,66.18419894,2.667,0.0254695401214604,0.0006486974739986811,,13.262,471.9,603.0,0.0,0.0,,1.0,384.9105640517046,0.0628471341558587,,Kepler
952,Kepler-1197 b,2.03231603,1.118,0.013666265727564566,0.00018676681893640585,,12.814,1123.9,1436.2,1.2,0.2,,1.0,313.15534640348,0.3089740944475761,,Kepler
953,Kepler-1198 b,7.68477502,1.439,0.014991581239301164,0.00022474750805456665,,13.012,896.3,1145.4,0.2,0.0,,1.0,343.05190130867095,0.171422902002096,,Kepler
954,Kepler-1199 b,15.04488567,1.15,0.009011172415657107,8.120122830469955e-05,,11.581,,,,,,1.0,177.48425448831668,,,Kepler
955,Kepler-12 b,4.4379625,19.565,0.11424824055686936,0.013052660470340288,8.019,12.066,1513.1,1933.5,296.5,67.4,79468.61984354506,1.0,221.90129189547798,37.85059768982786,126.85770034283144,Kepler
956,Kepler-120 b,6.31250638,2.549,0.031158596904796127,0.0009708581610755707,15.766666666666667,12.307,710.6,908.1,0.1,0.0,64549.68747406971,1.0,247.94755533421917,0.7156619735935144,7.722624769480482,Kepler
957,Kepler-120 c,12.79457514,2.038,0.024912208902304635,0.0006206181523920663,25.226666666666667,12.307,561.3,717.3,0.0,0.0,,1.0,247.94755533421917,0.22790113116489485,,Kepler
958,Kepler-1200 b,1.11855021,1.074,0.01278741844615066,0.00016351807051695415,,13.202,1342.9,1716.1,3.8,0.7,,1.0,374.42068258372126,0.326034379732415,,Kepler
959,Kepler-1201 b,15.18727635,1.912,0.01752900273106224,0.0003072659367455875,,13.157,854.9,1092.5,0.1,0.0,,1.0,366.7413089206443,0.1764752047786858,,Kepler
960,Kepler-1202 b,28.68550305,2.856,0.028773065313298173,0.0008278892875233225,,13.946,614.5,785.3,0.0,0.0,,1.0,527.4239302312782,0.146355700884003,,Kepler
961,Kepler-1203 b,0.58800113,1.216,0.014478119953928493,0.00020961595740034237,,12.059,1442.0,1842.7,9.4,2.0,,1.0,221.18711837607657,0.9023814032607033,,Kepler
962,Kepler-1204 b,85.72950297,2.519,0.023565215331496983,0.0005553193736198205,,13.771,452.5,578.3,0.0,0.0,,1.0,486.5862480290447,0.03681570193494288,,Kepler
963,Kepler-1205 b,1.07839096,1.491,0.016669904500468034,0.0002778857160547244,,13.262,1578.1,2016.7,11.5,2.8,,1.0,384.9105640517046,0.6109642137267826,,Kepler
964,Kepler-1206 b,1.21699352,1.436,0.017553450433616023,0.00030812362212541454,,13.742,1369.0,1749.4,7.0,1.4,,1.0,480.13109205604883,0.4671757554293138,,Kepler
965,Kepler-1207 b,13.68246022,2.718,0.01221486315095249,0.00014920288179649699,,13.017,1204.6,1539.3,0.9,0.1,,1.0,343.8427176142634,0.1907385763193164,,Kepler
966,Kepler-1208 b,11.08515076,2.256,0.02757700848066695,0.0007604913967427769,,13.788,688.7,880.0,0.0,0.0,,1.0,490.41057965958424,0.23808699663386512,,Kepler
967,Kepler-1209 b,25.36900067,1.503,0.011023469081500646,0.0001215168705908007,,11.239,784.0,1001.8,0.0,0.0,,1.0,151.62116548979174,0.12730851634830684,,Kepler
